labels	text	cls
O O B_music_item B_artist I_artist O B_playlist_owner B_playlist I_playlist O	Add the artist jill vidal to my Sinfonía Hipster playlist	False
O O O B_movie_name I_movie_name I_movie_name I_movie_name O O B_location_name I_location_name	What time is The Bride from Hell playing at Malco Theatres	False
O O O B_object_name I_object_name I_object_name I_object_name I_object_name	I'm looking for The Birth of a Nation	False
O O O O O O B_movie_name I_movie_name I_movie_name I_movie_name O O O O B_object_location_type I_object_location_type O	Can you let me know when Talk of the Devil is playing at the movie theatre ?	False
O O O O B_object_name I_object_name	Where can I find Lonely Hearts	False
O O O O O B_timeRange I_timeRange I_timeRange I_timeRange O O B_restaurant_type O B_party_size_number B_spatial_relation B_state O O O B_served_dish I_served_dish O	I need a table for 1 minute from now at any pub for five around IN that also serves fisn'n chips .	False
O O O O B_artist O B_playlist_owner B_playlist I_playlist O	Can you put some monifah on my disco fever playlist	False
O B_artist I_artist O O O O B_sort O	Play rie fu music sorted by the best .	False
O O O O B_state O	What's the weather in RI ?	False
O O B_music_item B_artist O O B_playlist I_playlist O	add the artist gougoush to the Soul Revived playlist	False
O B_service I_service O O O B_album I_album I_album B_music_item	Use Groove Shark to play the Today And Tomorrow album	False
O B_entity_name I_entity_name I_entity_name O B_playlist_owner B_playlist I_playlist I_playlist O	Add Waltz for Debby to my Soft Pop Hits playlist.	False
O O O B_track I_track I_track I_track O B_service	Can you play The Change Is Made on Netflix	False
O O B_object_name I_object_name I_object_name I_object_name I_object_name O O B_rating_value	I'd say Life in the Iron Mills was a five	False
O B_restaurant_name I_restaurant_name I_restaurant_name B_timeRange I_timeRange I_timeRange O B_country I_country	book The Kegs Drive-In in 37 weeks in Saudi Arabia	False
O B_movie_type I_movie_type O O O B_spatial_relation B_object_location_type	what animated movies are at the nearest cinema	False
O O O O O B_condition_temperature O O B_current_location I_current_location	Is it going to get hotter in my current position	False
O O O B_timeRange I_timeRange O O B_city I_city B_state	what is the 10 pm forecast for Sweet Springs Wyoming	False
O B_music_item O B_playlist I_playlist	Add tune to downtempo beats	False
O O O O B_movie_name I_movie_name I_movie_name I_movie_name I_movie_name O B_timeRange I_timeRange	Where theater is playing The Ranger and the Lady at 10 AM	False
O O B_music_item O B_artist I_artist I_artist O B_playlist_owner B_playlist O	Add a tune by Louis Wolfe Gilbert to my cleaning playlist	False
O O O B_condition_temperature B_spatial_relation I_spatial_relation I_spatial_relation O B_country I_country I_country I_country	will it be warm within walking distance of Saint Pierre and Miquelon	False
O O B_object_type I_object_type O	Find a movie schedule .	False
O O O B_state I_state O O B_condition_temperature O	what is the AMerican Samoa forecast for hot weather	False
O O O O O B_movie_type O O B_spatial_relation B_object_location_type I_object_location_type	I'd like to see a movies at the nearest movie house	False
O O O O B_object_type O B_object_name I_object_name I_object_name I_object_name B_rating_value B_rating_unit	I am rating this book called Nuclear War Survival Skills zero stars	False
O O B_artist I_artist I_artist B_music_item O B_service I_service	play a Karin Dreijer Andersson soundtrack on Groove Shark	False
O B_movie_type O O B_spatial_relation B_object_location_type	Show films at the nearest cinema	False
O O O O B_city	What's the weather in Parthenon	False
O O B_object_type O B_spatial_relation I_spatial_relation B_movie_type O	Find the schedule for close by movies .	False
O O O O B_object_type I_object_type O O	Please shoe me the movie schedule for today.	False
O O O O O B_spatial_relation O B_state B_timeRange I_timeRange I_timeRange I_timeRange	what is the weather forecast faraway from RI seven months from now	False
O O O O O B_object_type I_object_type O	Where can I find the movie schedules ?	False
O B_playlist I_playlist I_playlist I_playlist O O B_entity_name I_entity_name I_entity_name I_entity_name I_entity_name I_entity_name O O	The this is kevin johansen playlist needs The Lamb Lies Down on Broadway in it.	False
O O O O O B_city I_city	What is the weather in Port Vue	False
O B_artist I_artist I_artist O O O O B_playlist I_playlist	add yang hyun seok to the playlist called night out	False
O O O B_object_type O B_object_name I_object_name I_object_name I_object_name I_object_name I_object_name I_object_name O	Play me the trailer for Chasing After Shadows... Living with the Ghosts .	False
O O O B_music_item O B_artist I_artist O B_year	Play me a song by Avispa Music from 1965	False
