labels	text	cls
O O O O O O O O O O O O	How can I shutdown the computer when a certain process ends ?	True
O O O O O O B_UbuntuVersion L_UbuntuVersion O	Is it recommended to upgrade to Lubuntu 15.04 ?	False
O O B_UbuntuVersion L_UbuntuVersion	Problem upgrading Ubuntu 9.10	False
O O O O O O O O O O O	What graphical utility can I use for Ubuntu auto shutdown ?	True
O O O O O U_UbuntuVersion O U_UbuntuVersion O	How to upgrade from Ubuntu 10.10 to 11.04 ?	False
O O O O O O O O O O	How do I show grub when resuming from suspend ?	True
O O O O O O O O O	Is there a Document scanning and archiving software ?	True
O B_Printer L_Printer O O	Installing Epson XP-424 wireless printer	False
O O O O O O	What screenshot tools are available ?	True
O O O O O O O O U_UbuntuVersion O	How to add a network printer on Ubuntu 15.10 ?	False
O O O O	Password Management Applications ?	True
O O O O O O O O O O	How to setup HP printer / scanner on ubuntu ?	True
O U_SoftwareName O O O O	What IRC clients are available ?	False
O O O O O O O O O O O O O O	Is there any program for fuzzy string matching which provides a match score ?	True
O O U_UbuntuVersion O U_UbuntuVersion	Upgrade from 9.10 to 11.04	False
O O O O O O O O O O	Is there a lightweight tool to crop images quickly ?	True
O O O U_UbuntuVersion O U_UbuntuVersion	Upgrading from Ubuntu 14.04 to 15.04	False
O O O O B_Printer L_Printer O O O U_UbuntuVersion O	How Do I Install Canon MF8000C Printer in Ubuntu 15.10 ?	False
O U_UbuntuVersion O U_UbuntuVersion	Upgrade 10.10 to 11.04	False
O O O O O U_UbuntuVersion O U_UbuntuVersion O O O O	Why did the upgrade from 11.10 to 12.04 ruin my system ?	False
O O O O B_Printer L_Printer O	How do I install Dell 2150cdn printer	False
O O O O O O O O O O	How is rm command different from the delete button ?	True
O O O O O O O O	How do I fix a shutdown problem ?	True
O O O O O O O O	Are there any Keyboard Shortcuts to Shutdown ?	True
O O O O U_UbuntuVersion O U_UbuntuVersion	How to upgrade from 12.10 to 14.04	False
O O O O O O O O	How can I highlight or annotate PDFs ?	True
O O O B_UbuntuVersion L_UbuntuVersion	Shutdown problem in Ubuntu 16.04	False
O O U_UbuntuVersion O U_UbuntuVersion	Upgrading from 10.04 to 11.10	False
O O O O O O	PDF to word conversion software ?	True
O O O O O O O O O O O O	How can I automatically shutdown the system after a specific time ?	True
O O O O O O O O O O	Which programs can I use to edit PDF files ?	True
O O O U_UbuntuVersion O U_UbuntuVersion	Problems upgrading from 12.04 to 14.04	False
O O O O B_Printer L_Printer O O O	How to install a Brother MFC-5890CN network printer ?	False
O O O O O O U_UbuntuVersion O O O O O O	Do I need to backup my 12.04 system to upgrade to 12.04.1 ?	False
O O O O O O O O O O	Is there LAN topology mapping software available in Ubuntu ?	True
O O O O O O O O O O O O O	What does my computer do when I click ' Shut Down ' ?	True
O O O O B_Printer L_Printer O O O	How to install a Lexmark z600 series printer ?	False
O O O O O O O	What IDEs are available for Ubuntu ?	True
O O O O O O O O O	Is there any recovery software available for ext4 ?	True
O O O O O O O O O O O O	Any app that tells me to take regular breaks from working ?	True
O O O O O O U_UbuntuVersion O O U_UbuntuVersion	update - manager : upgrade to 15.04 rather than 16.04	False
O O O O O O O	Are there any hardware diagnostic tools ?	True
O O O O O O	Extracting embedded images from a PDF	True
O O O O O	No action when shutdown pressed	True
O O U_UbuntuVersion O U_UbuntuVersion O O O O O O	Upgrading from 10.10 to 11.04 how much space is needed ?	False
O B_Printer L_Printer O O U_UbuntuVersion	Installing EPSON L355 on Ubuntu 14.04	False
O O O O O O O	Any command line calculator for Ubuntu ?	True
O O O O O O O O	What 's the best Mind Mapping Software ?	True
O O O O O O U_UbuntuVersion O O U_UbuntuVersion O O O	How can i upgrade to Ubuntu 14.04 final from 14.04 Beta correctly ?	False
O O O O O O O O O O O O	Is there any software that will do face recognition in photos ?	True
O O O O U_UbuntuVersion O U_UbuntuVersion O	How to upgrade Ubuntu 14.04.1 to 14.04.2 ?	False
O O O O O O O	How can I enable shutdown verbosity ?	True
O O O O O B_Printer L_Printer O O	How do I install the HP F4280 printer ?	False
O O O O O O O O O U_UbuntuVersion O U_UbuntuVersion O	Do I need to reinstall everything to upgrade from 13.10 to 14.10 ?	False
