labels	text	cls
B_LOC B_LOC O O O O O O O O O O O O	Bayern München ist wieder alleiniger Top- Favorit auf den Gewinn der deutschen Fußball-Meisterschaft .	False
O B_LOC O O O O O O O O O O O O O O O O O O O O O O	Die Deutsche Flugsicherung ( DFS ) beschloss ein Flugverbot für alle internationalen Flughäfen mit Ausnahme der beiden Berliner Flughäfen bis 2.00 Uhr nachts .	False
O O O O O O O O O B_LOC O O O O O O O O O O O O O O O O O O O O O O	Im Herbst 1945 erfolgte seine Berufung an die Universität Jena zum ordentlichen Professor auf den Lehrstuhl für Acker- und Pflanzenbau und die Ernennung zum Direktor des Instituts für Pflanzenbau und Pflanzenzucht .	False
O O O O O O O B_LOC O O O O O O O O O O O O O O O O O	Die deutschen Staaten , die nach dem Wiener Kongress ihre Territorien auf das linke Rheinufer ausweiteten , respektierten die von Frankreich errichtete Rechtsordnung weitgehend .	False
O O O O O O O O O O O O O O O O O O O O O O O O O O B_LOC O	Christian von Hofe , der 1881 Alma , geborene Dau , ehelichte , verstarb am 16. Juni 1954 im Alter von 83 Jahren in Frankfurt am Main .	False
O O O O B_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Ausbildung In der Bundesrepublik Deutschland können die Befähigungszeugnisse „ Kapitän BK “ ( Kleine Hochseefischerei ) und „ Kapitän BG “ ( Große Hochseefischerei ) im Rahmen einer bundeseinheitlichen Regelung erworben werden .	False
O O O O O O B_LOC O O O O O O O O O O O O	"Im Mittelalter fand die Schlacht von Worringen am 5. Juni 1288 in der "" Fühlinger Heide "" statt ."	False
O O B_PER O O O O O O O O O O O O O O O O O O O O O O O O O	Der Queen Sirikit Park ( 0,224 km² ) ist ein Botanischer Garten , der zu Ehren des 60. Geburtstags von Königin Sirikit im Dezember 1996 eröffnet wurde .	False
O O O O O B_ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Boris Hedde : Image von Kaiser’s nachhaltig geschwächt In : Wirtschaftswoche online vom 29. Juni 2009 Der langjährig Beschäftigten war vorgeworfen worden , zwei ihr nicht gehörende Leergutbons im Gesamtwert von 1,30 Euro eingelöst zu haben .	False
B_PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Campi et al . ( 1996 ) konnten zeigen , dass der Rotationskörper mit konstanter Breite mit minimalem Volumen ein Reuleaux-Dreieck ist , das um eine seiner Symmetrieachsen rotiert .	False
O O O O O O B_LOC O O O O O O O O O O O	Józef Hála : Franz Baron von Nopcsa , Anmerkungen zu seiner Familie und seine Beziehungen zu Albanien .	False
O O O O O O O O O O O O O O O O O O O O O O O B_LOC O O	Im Zuge der Neuorganisation des Sports in Ostdeutschland auf der Basis von so genannten Betriebssportgemeinschaften ( BSG ) wurde 1949 die BSG Vorwärts Greiz gegründet .	False
O O B_PER O O O O O O O O O O O O O O O O	""" Personal Jesus "" heißt ihr neues Album , das ab 16. Juli in den Plattenläden erhältlich ist ."	False
O O O O O O O O B_LOC O O O O O O O O O O O O O B_LOC O O	Der Ort gehörte zum Besitz der Grafen von Blankenburg-Regenstein , die 1599 ausstarben , wodurch Timmenrode in den Besitz des Herzogs von Braunschweig überging .	False
O O O O O B_ORG O O O O	Seit 2002 werden sie durch Neoplan 4411 NF ersetzt .	False
O O O O O O O O O O O O O O O O O B_ORG B_LOC O O O B_LOC O O O O O	"Das werden wir uns nicht nehmen lassen "" , unterstrich der Bundestrainer , der sich beim Bundesligaspiel Bayer Leverkusen gegen den VfB Stuttgart als Tribünengast gezeigt hatte ."	False
O O O O O O O O O O O O B_LOC O O	Mit sechzehn Jahren wurde er zum Spieler in der Ligamannschaft von CHZ Litvinov berufen .	False
