-DOCSTART- -X- -X- O

The -X- _ O
simulated -X- _ O
blank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
is -X- _ O
not -X- _ O
used -X- _ O
. -X- _ O

Hello -X- _ O
, -X- _ O
how -X- _ O
can -X- _ O
I -X- _ O
use -X- _ O
Huawei -X- _ B-HMS_SERVICE
pay -X- _ I-HMS_SERVICE
to -X- _ O
brush -X- _ O
the -X- _ O
subway -X- _ B-TRANSPORT
? -X- _ O
I -X- _ O
have -X- _ O
bound -X- _ O
the -X- _ O
card -X- _ O
according -X- _ O
to -X- _ O
the -X- _ O
program -X- _ O
, -X- _ O
but -X- _ O
why -X- _ O
ca -X- _ O
n't -X- _ O
I -X- _ O
brush -X- _ O
it -X- _ O
when -X- _ O
I -X- _ O
brush -X- _ O
the -X- _ O
iron -X- _ O
gate -X- _ O
? -X- _ O

A -X- _ O
few -X- _ O
cents -X- _ O
are -X- _ O
deducted -X- _ O
after -X- _ O
a -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
is -X- _ O
added -X- _ O
. -X- _ O

The -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
does -X- _ O
not -X- _ O
respond -X- _ O
to -X- _ O
card -X- _ B-CARD_FEATURE
swiping -X- _ I-CARD_FEATURE
. -X- _ O

The -X- _ O
recharge -X- _ O
service -X- _ O
of -X- _ O
the -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
in -X- _ O
Hebei -X- _ B-LOC
is -X- _ O
suspended -X- _ O
. -X- _ O

Can -X- _ O
I -X- _ O
have -X- _ O
a -X- _ O
business -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
here -X- _ O
? -X- _ O

I -X- _ O
'd -X- _ O
like -X- _ O
to -X- _ O
ask -X- _ O
the -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
why -X- _ O
someone -X- _ O
sells -X- _ O
tickets -X- _ B-MISC
to -X- _ O
the -X- _ O
card -X- _ O
reader -X- _ O
. -X- _ O

Small -X- _ O
- -X- _ O
amount -X- _ O
non -X- _ O
- -X- _ O
disclosure -X- _ O

If -X- _ O
the -X- _ O
phone -X- _ O
is -X- _ O
faulty -X- _ O
, -X- _ O
you -X- _ O
need -X- _ O
to -X- _ O
change -X- _ O
the -X- _ O
PCBA -X- _ B-HMS_SERVICE
. -X- _ O
How -X- _ O
can -X- _ O
I -X- _ O
get -X- _ O
the -X- _ O
bound -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

HUAWEI -X- _ B-HMS_SERVICE
CLOUD -X- _ I-HMS_SERVICE
Delete -X- _ O
Bank -X- _ B-CARD_TYPE
Card -X- _ I-CARD_TYPE

Does -X- _ O
Huawei -X- _ B-HUAWEI_DEVICE
p9 -X- _ I-HUAWEI_DEVICE
do -X- _ O
not -X- _ O
support -X- _ O
mobile -X- _ O
phone -X- _ B-HMS_SERVICE
pay -X- _ I-HMS_SERVICE
? -X- _ O

Why -X- _ O
ca -X- _ O
n't -X- _ O
my -X- _ O
access -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
be -X- _ O
used -X- _ O
? -X- _ O

Which -X- _ O
cities -X- _ O
can -X- _ O
be -X- _ O
added -X- _ O
to -X- _ O
the -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
? -X- _ O

Which -X- _ O
models -X- _ O
support -X- _ O
the -X- _ O
mobile -X- _ O
phone -X- _ O
recharge -X- _ O
function -X- _ O
? -X- _ O

Where -X- _ O
can -X- _ O
I -X- _ O
use -X- _ O
a -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
as -X- _ O
a -X- _ O
bus -X- _ B-TRANSPORT
subway -X- _ I-TRANSPORT
? -X- _ O

Does -X- _ O
this -X- _ O
machine -X- _ O
support -X- _ O
the -X- _ O
door -X- _ B-CARD_TYPE
key -X- _ I-CARD_TYPE
function -X- _ O
? -X- _ O

The -X- _ O
card -X- _ O
number -X- _ O
is -X- _ O
inconsistent -X- _ O
with -X- _ O
the -X- _ O
entity -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
number -X- _ O
. -X- _ O

Beijing -X- _ B-LOC
, -X- _ O
Tianjin -X- _ B-LOC
, -X- _ O
and -X- _ O
Hebei -X- _ B-LOC
cards -X- _ O
are -X- _ O
used -X- _ O
to -X- _ O
access -X- _ O
the -X- _ O
subway -X- _ B-TRANSPORT
. -X- _ O

My -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
does -X- _ O
n't -X- _ O
respond -X- _ O
. -X- _ O

Which -X- _ O
banks -X- _ O
support -X- _ O
wallet -X- _ B-HMS_SERVICE
credit -X- _ B-CARD_TYPE
cards -X- _ I-CARD_TYPE
? -X- _ O

How -X- _ O
to -X- _ O
remove -X- _ O
the -X- _ O
key -X- _ O
of -X- _ O
Huawei -X- _ B-ORG
mobile -X- _ O
phone -X- _ O
door -X- _ O
? -X- _ O

[ -X- _ O
Huawei -X- _ B-ORG
] -X- _ O
[ -X- _ O
Account -X- _ O
] -X- _ O
[ -X- _ O
Mobile -X- _ O
phone -X- _ O
] -X- _ O
[ -X- _ O
Number -X- _ O
] -X- _ O
