labels	text	cls
O O O O O O U_currency_name O B_currency_name I_currency_name L_currency_name	what is the exchange rate for pounds and u. s. d.	False
O O O O U_currency_name O B_currency_name L_currency_name	display exchange rate of euro to indian rupee	False
O O O O B_currency_name I_currency_name L_currency_name O U_currency_name	how much is one u. s. d. in inr	False
O O U_currency_name O O U_currency_name	how many yen for each dollar	False
O O O U_currency_name O O U_currency_name	what is the dollar price in inr	False
O O O O U_currency_name O O O O U_currency_name	how much is the dollar worth compared to the euro	False
O O U_currency_name O B_currency_name L_currency_name	convert one euros to us dollars	False
O U_currency_name O U_currency_name	from dollar to euro	False
O O U_currency_name O O O O O U_currency_name O O	how many pesos can i get for a dollar right now	False
O O O O O O O B_currency_name L_currency_name O O U_currency_name	i need the exchange rate for the us dollar and the euro	False
O O O O O O O U_currency_name	tell me the exchange rate for the yen	False
O O	money exchange	True
O O O O B_currency_name L_currency_name O O U_currency_name	how much is fifty us dollars with in china	False
O O U_currency_name O O O U_currency_name	how many rupies are in a dollar	False
O O O O O O O O O B_currency_name L_currency_name O O U_currency_name	what is the difference between the rate of the american dollar and the pound	False
B_currency_name I_currency_name L_currency_name O U_currency_name	u. s. d. to yen	False
O O O O O O B_currency_name I_currency_name L_currency_name O U_currency_name	given me the exchange rates between u. s. d. and cad	False
O O O O O O O U_currency_name O U_currency_name	what s the currency exchange rate from dollars to euros	False
O O O O O O O B_currency_name L_currency_name O O U_currency_name	what 's the exchange rate between the us dollar and the euro	False
O O O O O O U_currency_name O O	what is the exchange rate for dollars to pounds	False
O O O	new exchange rate	True
O O O O O O O U_currency_name O O U_currency_name O	what is the exchange rate between the dollar and the euro currently	False
O O O O O O U_currency_name U_date O U_currency_name	what is the exchange rate of euro today to dirham	False
O O O O	exchanges rates any problems	True
O O O O B_currency_name I_currency_name L_currency_name O U_currency_name	how much is ten u. s. d. to cad	False
O O O O O O B_currency_name I_currency_name L_currency_name O B_currency_name L_currency_name	give me the exchange rate between united states dollar and japanese yen	False
O O O O O O O O U_currency_name O B_currency_name I_currency_name L_currency_name	what 's the current exchange rate for the euro against u. s. d.	False
O O O O O O U_currency_name O U_currency_name	what 's the exchange rate between czk and euro	False
O O O O O U_currency_name O U_currency_name	please give me detail one dollars equals rs	False
O O O U_currency_name O B_currency_name I_currency_name L_currency_name	forex rate of euro to u. s. d.	False
